AISP;RISP;CISP;Munic;Unidade Territorial;Latitude;Longitude
1;5;1;Rio de Janeiro                         ;Centro (parte);-22,9019;-43,1797
1;5;4;Rio de Janeiro                                   ;Centro (parte), Gamboa, Santo Cristo e Saúde;-22,8990;-43,1964
1;5;5;Rio de Janeiro                                   ;Centro (parte), Lapa e Paquetá;-22,9097;-43,1751
1;4;6;Rio de Janeiro                                   ;Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte);-22,9217;-43,2047
1;5;7;Rio de Janeiro                                   ;Santa Teresa;-22,9447;-43,2124
1;2;9;Rio de Janeiro                                   ;Catete, Cosme Velho, Flamengo, Glória e Laranjeiras;-22,9326;-43,1829
1;2;10;Rio de Janeiro                                   ;Botafogo, Humaíta e Urca;-22,9541;-43,1860
1;23;11;Rio de Janeiro                                   ;Rocinha;-22,9892;-43,2480
1;19;12;Rio de Janeiro                                   ;Copacabana (parte) e Leme;-22,9651;-43,1783
1;19;13;Rio de Janeiro                                   ;Copacabana (parte);-22,9771;-43,1915
1;23;14;Rio de Janeiro                                   ;Ipanema e Leblon;-22,9840;-43,2142
1;23;15;Rio de Janeiro                                   ;Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal;-22,9906;-43,2658
2;31;16;Rio de Janeiro                                   ;Barra da Tijuca, Itanhangá, Joá;-22,9952;-43,3538
1;4;17;Rio de Janeiro                                   ;Caju, Mangueira, São Cristóvão e Vasco da Gama;-22,8908;-43,2236
1;6;18;Rio de Janeiro                                   ;Maracanã, Praça da Bandeira e Tijuca (parte);-22,9143;-43,2215
1;6;19;Rio de Janeiro                                   ;Alto da Boa Vista e Tijuca (parte);-22,9567;-43,2563
1;6;20;Rio de Janeiro                                   ;Andaraí, Grajaú e Vila Isabel;-22,9249;-43,2585
1;22;21;Rio de Janeiro                                   ;Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos;-22,8690;-43,2471
1;16;22;Rio de Janeiro                                   ;Brás de Pina (parte), Olaria, Penha e Penha Circular (parte);-22,8429;-43,2743
1;3;23;Rio de Janeiro                                   ;Cachambi, Méier (parte) e Todos os Santos (parte);-22,8928;-43,2772
1;3;24;Rio de Janeiro                                   ;Abolição, Água Santa (parte), Encantado, Engenho de Dentro (parte), Pilares e Piedade;-22,8893;-43,3030
1;3;25;Rio de Janeiro                                   ;Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier;-22,9019;-43,2580
1;3;26;Rio de Janeiro                                   ;Água Santa (parte), Engenho de Dentro (parte), Lins de Vasconcelos e Todos os Santos;-22,9097;-43,2944
2;41;27;Rio de Janeiro                                   ;Colégio (parte), Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre;-22,8443;-43,3205
2;18;28;Rio de Janeiro                                   ;Vila Valqueire, Praça Seca e Tanque (parte);-22,8978;-43,3598
2;9;29;Rio de Janeiro                                   ;Cavalcanti, Engenheiro Leal, Madureira, Turiaçu, Vaz Lobo, Oswaldo Cruz (parte), Cascadura e Quintino Bocaiúva;-22,8800;-43,3282
2;9;30;Rio de Janeiro                                   ;Bento Ribeiro, Campinho, Marechal Hermes e Oswaldo Cruz (parte);-22,8662;-43,3632
2;41;31;Rio de Janeiro                                   ;Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque;-22,8289;-43,3965
2;18;32;Rio de Janeiro                                   ;Anil, Cidade de Deus, Curicica, Gardênia Azul, Jacarepaguá e Taquara;-22,9455;-43,3141
2;14;33;Rio de Janeiro                                   ;Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar;-22,8753;-43,4101
2;14;34;Rio de Janeiro                                   ;Bangu, Gericinó, Padre Miguel e Senador Camará;-22,8718;-43,4796
2;40;35;Rio de Janeiro                                   ;Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos;-22,8828;-43,5604
2;27;36;Rio de Janeiro                                   ;Paciência e Santa Cruz;-22,9093;-43,7086
1;17;37;Rio de Janeiro                                   ;Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá e Zumbi;-22,8050;-43,2241
1;16;38;Rio de Janeiro                                   ;Brás de Pina (parte), Cordovil, Jardim América, Parada de Lucas,Penha Circular (parte) e Vigário Geral;-22,8199;-43,3028
2;41;39;Rio de Janeiro                                   ;Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna;-22,8141;-43,3583
2;9;40;Rio de Janeiro                                   ;Coelho Neto, Colégio (parte), Honório Gurgel e Rocha Miranda;-22,8422;-43,3475
2;18;41;Rio de Janeiro                                   ;Freguesia (Jacarepaguá), Pechincha e Tanque (parte);-22,9284;-43,3442
2;31;42;Rio de Janeiro                                   ;Recreio dos Bandeirantes, Barra de Guaratiba, Camorim, Grumari, Vargem Grande e Vargem Pequena;-22,9847;-43,4718
2;27;43;Rio de Janeiro                                   ;Guaratiba, Pedra de Guaratiba e Sepetiba;-22,9864;-43,5819
1;3;44;Rio de Janeiro                                   ;Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho;-22,8671;-43,2937
3;24;48;Seropédica                                       ;Seropédica;-22,7625;-43,7082
3;24;50;Itaguaí                                          ;Itaguaí e Ibituporanga;-22,8586;-43,8267
3;24;51;Paracambi                                        ;Paracambi;-22,6250;-43,7339
3;20;52;Nova Iguaçu                                      ;Centro;-22,7716;-43,4697
3;20;53;Mesquita                                         ;Mesquita, Chatuba e Banco de Areia;-22,7981;-43,4490
3;39;54;Belford Roxo                                     ;Areia Branca, Jardim Redentor, Parque São José, Nova Aurora e Lote XV;-22,7319;-43,3744
3;24;55;Queimados                                        ;Centro, Norte, Sul. Leste, Oeste e Nordeste;-22,7228;-43,5823
3;20;56;Nova Iguaçu                                      ;Comendador Soares, Cabuçú e Km32;-22,7915;-43,5790
3;20;57;Nilópolis                                        ;Nilópolis e Olinda;-22,8205;-43,4275
3;20;58;Nova Iguaçu                                      ;Posse, Austin, Miguel Couto, Vila de Cava e Tinguá;-22,6408;-43,4763
3;15;59;Duque de Caxias                                  ;Duque de Caxias (Centro);-22,7766;-43,2991
3;15;60;Duque de Caxias                                  ;Campos Elyseos;-22,7029;-43,2705
3;15;61;Duque de Caxias                                  ;Xerém;-22,5820;-43,3260
3;15;62;Duque de Caxias                                  ;Imbariê;-22,6209;-43,2390
3;24;63;Japeri                                           ;Japeri, Engenheiro Pedreira, Marajoara, Pedra Lisa e Rio D`Ouro;-22,6623;-43,6018
3;21;64;São João de Meriti                               ;São João de Meriti, Coelho da Rocha e São Mateus;-22,7849;-43,3658
3;34;65;Magé                                             ;Magé, Santo Aleixo e Suruí;-22,6101;-43,0676
3;34;66;Magé                                             ;Inhomirim e Guia de Copaíba;-22,6259;-43,1699
3;34;67;Guapimirim                                       ;Guapimirim;-22,5944;-42,9686
4;35;70;Tanguá                                           ;Tanguá;-22,7836;-42,7293
4;35;71;Itaboraí                                         ;Itaboraí, Cabuçú, Itambí, Porto das Caixas e Sambaetiba;-22,7588;-42,8651
4;7;72;São Gonçalo                                      ;São Gonçalo;-22,7969;-43,0390
4;7;73;São Gonçalo                                      ;Neves;-22,8313;-43,0788
4;7;74;São Gonçalo                                      ;Monjolo;-22,7940;-42,9744
4;7;75;São Gonçalo                                      ;Ipiiba e Sete Pontes;-22,8652;-42,9711
4;12;76;Niterói                                          ;Centro, Ponta da Areia, Ilha da Conceição, São Lourenço, Fátima, Morro do Estado, Ingá, São Domingos, Gragoatá e Boa Viagem;-22,8917;-43,1177
4;12;77;Niterói                                          ;Santa Rosa, Icaraí, Vital Brasil, Pé Pequeno, Viradouro e Cubango;-22,9025;-43,0978
4;12;78;Niterói                                          ;Fonseca, Viçoso Jardim, Caramujo, Baldeador, Santa Bárbara, Tenente Jardim, Engenhoca, Santana e Barreto;-22,8776;-43,0796
4;12;79;Niterói                                          ;Jurujuba, Charitas, São Francisco, Cachoeiras, Maceió, Largo da Batalha, Ititioca, Badu, Sapê, Matapaca, Vila Progresso, Muriqui, Maria Paula e Cantagalo;-22,9050;-43,0473
4;12;81;Niterói                                          ;Itaipu, Camboinhas, Itacoatiara, Piratininga, Cafubá, Jacaré, Rio do Ouro, Engenho do Mato, Várzea das Moças e Jardim Imbuí;-22,9439;-43,0299
4;12;82;Maricá                                           ;Maricá e Inoã;-22,9112;-42,8088
5;10;88;Barra do Pirai                                   ;Barra do Piraí, Dorandia, Ipiabas, São José do Turvo e Vargem Alegre;-22,4341;-43,9029
5;37;89;Resende                                          ;Resende, Engenheiro Passos, Agulhas Negras, Pedra Selada e Fumaça;-22,4325;-44,4271
5;28;90;Barra Mansa                                      ;Antonio Rocha, Floriano, Nossa Senhora do Amparo, Rialto e Regiões Administrativas I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII, XIV;-22,5319;-44,2217
5;10;91;Valença                                          ;Valença, Barão de Juparana, Conservatória, Parapeúna, Pentagna e Santa Isabel do Rio Preto;-22,2221;-43,8540
5;10;92;Rio das Flores                                   ;Rio das Flores, Manuel Duarte, Abarracamento e Taboas;-22,1608;-43,5409
5;28;93;Volta Redonda                                    ;Volta Redonda;-22,4954;-44,0909
5;10;94;Piraí                                            ;Piraí, Arrozal, Monumento e Santanésia;-22,6263;-43,9219
5;10;95;Vassouras                                        ;Vassouras, Andrade Pinto, São Sebastião dos Ferreiros e Sebastião de Lacerda;-22,3977;-43,6171
5;10;96;"Miguel Pereira;Paty dos Alferes                  ";"Miguel Pereira, Governador Portela e Conrado; Paty do Alferes e Avelar";-22,4457;-43,4382
5;10;97;Mendes                                           ;Mendes;-22,5319;-43,7414
5;10;98;Engenheiro Paulo de Frontin                      ;Engenheiro Paulo de Frontin e Sacra Família do Tinguá;-22,5186;-43,6420
5;37;99;Itatiaia                                         ;Itatiaia;-22,4639;-44,5911
5;37;100;"Porto Real;Quatis                                ";"Porto Real; Quatis, Falcão e Ribeirão de São Joaquim";-22,3712;-44,2582
5;28;101;Pinheiral                                        ;Pinheiral;-22,5468;-44,0064
7;30;104;São José do Vale do Rio Preto                    ;São José do Vale do Rio Preto;-22,1753;-42,9388
7;26;105;Petrópolis                                       ;Petrópolis e Cascatinha;-22,4768;-43,1690
7;26;106;Petrópolis                                       ;Itaipava, Pedro do Rio e Posse;-22,3592;-43,1459
7;38;107;Paraíba do Sul                                   ;Paraíba do Sul, Werneck, Salutaris e Inconfidência;-22,1935;-43,3032
7;38;108;"Comendador Levy Gasparian;Areal;Três Rios        ";"Areal; Comendador Levy Gasparian e Afonso Arinos; Três Rios e Bemposta";-22,1538;-43,1194
7;38;109;Sapucaia                                         ;Sapucaia, Anta, Pião, Nossa Senhora Aparecida e Jamapara;-22,0345;-42,8477
7;30;110;Teresópolis                                      ;Teresópolis, Vale do Bonsucesso e Vale do Paquequer;-22,3111;-42,8676
7;30;111;Sumidouro                                        ;Sumidouro;-22,1256;-42,6754
7;30;112;Carmo                                            ;Carmo, Córrego da Prata e Porto Velho do Cunha;-21,9037;-42,5909
4;25;118;Araruama                                         ;Araruama, Morro Grande e São Vicente de Paula;-22,7733;-42,3309
4;35;119;Rio Bonito                                       ;Rio Bonito e Boa Esperança;-22,7368;-42,5959
4;35;120;Silva Jardim                                     ;Silva Jardim, Aldeia Velha, Correntezas e Gaviões;-22,5712;-42,4170
6;32;121;Casimiro de Abreu                                ;Casimiro de Abreu, Professor Souza, Barra de São João e Rio Dourado;-22,4851;-42,1503
6;32;122;Conceição de Macabú                              ;Conceição de Macabú e Macabuzinho;-22,1372;-41,8853
6;32;123;Macaé                                            ;Centro, Cabiúnas, Barra de Macaé, Aeroporto e Imboassica;-22,2979;-41,9880
4;25;124;Saquarema                                        ;Saquarema, Bacaxá e Sampaio Correia;-22,8826;-42,5214
4;25;125;São Pedro da Aldeia                              ;São Pedro da Aldeia;-22,7915;-42,1222
4;25;126;Cabo Frio                                        ;Cabo Frio e Tamoios;-22,6573;-42,0543
4;25;127;Armação dos Búzios                               ;Armação dos Búzios;-22,7799;-41,9648
6;32;128;Rio das Ostras                                   ;Rio das Ostras;-22,4586;-41,9416
4;25;129;Iguaba Grande                                    ;Iguaba Grande;-22,8329;-42,2182
6;32;130;"Quissamã;Carapebus                               ";"Centro, UB-S, Rodagem, Carapebus e Praia de Carapebus; Quissamã";-22,1173;-41,4828
4;25;132;Arraial do Cabo                                  ;Arraial do Cabo;-22,9240;-42,2050
6;8;134;Campos dos Goytacazes                            ;Campos dos Goytacazes (Primeiro Subdistrito, Segundo Subdistrito e Quarto Subdistrito), Ibitioca, Dores de Macabu, Morangaba, Mussurepe, Serrinha, Santo Amaro de Campos, São Sebastião de Campos e Tocos;-21,8320;-41,5250
6;36;135;Itaocara                                         ;Itaocara, Portela, Batatal, Laranjais, Jaguarembe e Estrada Nova;-21,7310;-42,0866
6;36;136;"Santo Antônio de Pádua;Aperibé                   ";"Aperibé; Santo Antônio de Pádua, Campelo, Paraoquena, Monte Alegre, Ibitiguaçú, Santa Cruz, Baltazar, Marangatú e São Pedro de Alcântara";-21,5852;-42,2058
6;36;137;Miracema                                         ;Miracema, Venda das Flores e Paraíso do Tobias;-21,3960;-42,1528
6;29;138;Laje do Muriaé                                   ;Laje do Muriaé;-21,2552;-42,1329
6;29;139;Porciúncula                                      ;Porciúncula, Purilândia e Santa Clara;-20,8323;-41,8845
6;29;140;"Natividade;Varre-Sai                             ";"Natividade, Ourania e Bom Jesus do Querendo; Varre-Sai";-20,9897;-41,9159
6;8;141;São Fidélis                                      ;São Fidelis, Cambiasca, Colonia, Ipuca e Pureza;-21,6241;-41,7735
6;36;142;Cambuci                                          ;Cambuci, Três Irmãos, Funil, Monte Verde e São João do Paraíso;-21,4966;-41,9143
6;29;143;"Itaperuna;São José de Ubá                        ";"Itaperuna, Boaventura, Nossa Senhora da Penha, Itajara, Retiro do Muriaé, Raposo e Comendador Venâncio; São José de Ubá";-21,2415;-41,8778
6;29;144;Bom Jesus de Itabapoana                          ;Bom Jesus de Itabapoana, Carabuçú, Calheiros, Pirapetinga de Bom Jesus, Rosal e Serrinha;-21,1935;-41,6261
6;8;145;São João da Barra                                ;Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Pipeiras;-21,7732;-41,0844
6;8;146;Campos dos Goytacazes                            ;Campos dos Goytacazes (Terceiro Subdistrito), Santa Maria, Morro do Coco, Santo Eduardo, Travessão e Vila Nova de Campos;-21,4750;-41,3213
6;8;147;São Francisco de Itabapoana                      ;São Francisco de Itabapoana, Maniva e Barra Seca;-21,4071;-41,1424
6;29;148;"Cardoso Moreira;Italva                           ";"Italva; Cardoso Moreira e São Joaquim";-21,4916;-41,5449
7;11;151;Nova Friburgo                                    ;Nova Friburgo, São Pedro da Serra, Lumiar, Amparo, Riograndina, Conselheiro Paulino e Campo do Coelho;-22,3099;-42,5371
7;11;152;Duas Barras                                      ;Duas Barras e Monnerat;-22,0515;-42,5007
7;11;153;Cantagalo                                        ;Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba;-21,8759;-42,3284
7;11;154;"Cordeiro;Macuco                                  ";"Cordeiro; Macuco";-22,0515;-42,3284
6;36;155;São Sebastião do Alto                            ;São Sebastião do Alto, Valão do Barro e Ipituna;-21,9057;-42,1230
7;11;156;Santa Maria Madalena                             ;Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo;-21,9654;-41,9143
7;11;157;Trajano de Morais                                ;Trajano de Moraes, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé;-22,1244;-42,1495
7;11;158;Bom Jardim                                       ;Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão;-22,2072;-42,3748
4;35;159;Cachoeiras de Macacu                             ;Cachoeiras de Macacu, Japuíba e Subaio;-22,5087;-42,7226
5;33;165;Mangaratiba                                      ;Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá;-22,9265;-44,0892
5;33;166;Angra dos Reis                                   ;Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba;-22,9431;-44,4884
5;33;167;Paraty                                           ;Paraty, Paraty-Mirim e Tarituba;-23,1418;-44,7518
5;28;168;Rio Claro                                        ;Rio Claro, Getulândia, Lídice, Passa Três e São João Marcos;-22,7820;-44,0735
